/NM4/D X,/NM4/D Y,/NM2/D X,/NM2/D Y
1.532935942867269e-09,0.0338109559193692,1.532935942867269e-09,-0.009186810836050564
1.533452705202467e-09,0.03504069405584104,1.533452705202467e-09,-0.01247710122908433
1.533892195451022e-09,0.03598485881600446,1.533892195451022e-09,-0.01493884871082318
1.534377033086596e-09,0.03693137999618944,1.534377033086596e-09,-0.0172809553917978
1.535031595112445e-09,0.03799639913990968,1.535031595112445e-09,-0.01973639591510142
1.535647512269253e-09,0.03871653114815665,1.535647512269253e-09,-0.02142262469550062
1.536199324246237e-09,0.03904251385451207,1.536199324246237e-09,-0.02248750820485614
1.536773641581635e-09,0.03899787769511458,1.536773641581635e-09,-0.02313420680753268
1.537426022005929e-09,0.03835399806832249,1.537426022005929e-09,-0.02319546948478828
1.538065797146051e-09,0.03703240439026689,1.538065797146051e-09,-0.02246638005095388
1.538621712472869e-09,0.03536054140279193,1.538621712472869e-09,-0.02115549086798967
1.53914326481047e-09,0.0334530006975806,1.53914326481047e-09,-0.01940913954479512
1.539682289064384e-09,0.03132226293907522,1.539682289064384e-09,-0.01712459418871776
1.540227671078034e-09,0.0292187880866102,1.540227671078034e-09,-0.01434708611247015
1.540790294880453e-09,0.02708181458274068,1.540790294880453e-09,-0.01105784132788459
1.541343129325647e-09,0.02489121123483318,1.541343129325647e-09,-0.007664883875093856
1.541835515377398e-09,0.02294464819037434,1.541835515377398e-09,-0.005239425698515827
1.542238602087902e-09,0.02139121772492572,1.542238602087902e-09,-0.004616618098663448
1.542557895923344e-09,0.02015622048031446,1.542557895923344e-09,-0.004010947294491377
1.542962619850629e-09,0.01853461567558654,1.542962619850629e-09,-0.002204947759917267
1.54333805962868e-09,0.01696528658821174,1.54333805962868e-09,-0.0002829227887204966
1.543703989815763e-09,0.01540248242150691,1.543703989815763e-09,0.001610943549066098
1.544140300716911e-09,0.01351972150022483,1.544140300716911e-09,0.004085609105055218
1.544649420350235e-09,0.01133318814966603,1.544649420350235e-09,0.007223870045474146
1.545120269224875e-09,0.009343865479098122,1.545120269224875e-09,0.01032308709685443
1.545584745000932e-09,0.007430103670198858,1.545584745000932e-09,0.01345698211508966
1.54611727065364e-09,0.005332388800915874,1.54611727065364e-09,0.01705272504560229
1.546714978948292e-09,0.003114654518357358,1.546714978948292e-09,0.02103176108953687
1.547371703643524e-09,0.0008744164252828218,1.547371703643524e-09,0.02526323907621311
1.548129043985306e-09,-0.001428182653607776,1.548129043985306e-09,0.02989761378300175
1.548947138654433e-09,-0.003585977642800707,1.548947138654433e-09,0.03461497607742711
1.549760508392703e-09,-0.005408198282853636,1.549760508392703e-09,0.03902968978154354
1.55058507437825e-09,-0.006938873590088974,1.55058507437825e-09,0.04323279356003221
1.551326413836142e-09,-0.00802034412900055,1.551326413836142e-09,0.04669645163712108
1.55198031113313e-09,-0.008715834195722787,1.55198031113313e-09,0.04941212751625162
1.552545842320707e-09,-0.009105061026679195,1.552545842320707e-09,0.05149063407177078
1.553001281635581e-09,-0.009273984154531633,1.553001281635581e-09,0.0530357534969929
1.553424511973216e-09,-0.009313246863510462,1.553424511973216e-09,0.0544111559047875
1.553954696929549e-09,-0.009252414340676852,1.553954696929549e-09,0.05597196077640616
1.554527665331457e-09,-0.009098702292667071,1.554527665331457e-09,0.05740633236974395
1.555053762097412e-09,-0.008896275216367105,1.555053762097412e-09,0.0583895016178785
1.555548530773889e-09,-0.008675995615771001,1.555548530773889e-09,0.0589667056740739
1.556056551925616e-09,-0.008405764221913428,1.556056551925616e-09,0.05917721591529678
1.556583355023751e-09,-0.008030268186968835,1.556583355023751e-09,0.05904622740780777
1.557097316455782e-09,-0.007524228048710862,1.557097316455782e-09,0.05905722252233173
1.55759918382421e-09,-0.00679087144954507,1.55759918382421e-09,0.05959461199955014
1.558018749784398e-09,-0.00590960792014393,1.558018749784398e-09,0.05970519962121232
1.558503543595116e-09,-0.004549510583553552,1.558503543595116e-09,0.05906567248593625
1.558965466289421e-09,-0.002985049947021588,1.558965466289421e-09,0.05805336467883977
1.559387087699454e-09,-0.001630229183479054,1.559387087699454e-09,0.05695930377431926
1.559810490764301e-09,-0.0006510434656065659,1.559810490764301e-09,0.05569312261286018
1.560161098280577e-09,0.000177518475596071,1.560161098280577e-09,0.05446902368656814
1.560626297157849e-09,0.001667400315759066,1.560626297157849e-09,0.05252258952476344
1.56104158967323e-09,0.00317890967454487,1.56104158967323e-09,0.05044557061350011
1.561403023046361e-09,0.004523924308300079,1.561403023046361e-09,0.04839676124678203
1.56175717325079e-09,0.005867212029841114,1.56175717325079e-09,0.04620222872102153
1.562162516576896e-09,0.007487266971877847,1.562162516576896e-09,0.04348573121699245
1.562743728375336e-09,0.01000147675919255,1.562743728375336e-09,0.03926987653844823
1.56319461462756e-09,0.01211723082491808,1.56319461462756e-09,0.03576238600290702
1.563613354591833e-09,0.01414395530231202,1.563613354591833e-09,0.0323536888249332
1.564099494728303e-09,0.01651585709681603,1.564099494728303e-09,0.0282503376486113
1.564656804778519e-09,0.01921349259110914,1.564656804778519e-09,0.02339669887841734
1.565278230787327e-09,0.02210080962230777,1.565278230787327e-09,0.01789377862015552
1.565964585997493e-09,0.02502794278156049,1.565964585997493e-09,0.0118368404288945
1.56671984096182e-09,0.02790985261358225,1.56671984096182e-09,0.005351209298918219
1.567446588816629e-09,0.03033759729218254,1.567446588816629e-09,-0.0005420166311769967
1.568108432808325e-09,0.032294493709755,1.568108432808325e-09,-0.005553114279949556
1.568725296400698e-09,0.03392242294385456,1.568725296400698e-09,-0.009865573397582018
1.569225652820417e-09,0.03510871142736043,1.569225652820417e-09,-0.01301146094876514
1.569663456878852e-09,0.03604891584997639,1.569663456878852e-09,-0.01543056762048784
1.570165273166077e-09,0.03702575673446305,1.570165273166077e-09,-0.0178010068823708
1.570812628085589e-09,0.03806784746288014,1.570812628085589e-09,-0.02016083540772001
1.571415081892898e-09,0.03875281713213173,1.571415081892898e-09,-0.02177763765274269
1.571964187180322e-09,0.03906277438939425,1.571964187180322e-09,-0.02282679416428358
1.572544260916301e-09,0.03899036511674635,1.572544260916301e-09,-0.02345812044163581
1.573193809700138e-09,0.03830569839207779,1.573193809700138e-09,-0.02349179643019794
1.573833229136581e-09,0.03693733938681129,1.573833229136581e-09,-0.02273541706546458
